Position,Const,Created,Modified,Description,Name,Known For,Birth Date
395,nm0147147,2024-01-08,2024-01-08,"8489 points","Henry Cavill","Man of Steel","5 мая 1983 г."
396,nm0488917,2024-01-08,2024-01-08,"8484 points","Thomas Bo Larsen","Jagten","27 ноября 1963 г."
397,nm0000024,2024-01-08,2024-01-08,"8308 points","John Gielgud","Arthur","14 апреля 1904 г."
398,nm0293509,2024-01-08,2024-01-08,"8195 points","Martin Freeman","Black Panther","8 сентября 1971 г."
399,nm0763928,2024-01-08,2024-01-08,"8195 points","Rodrigo Santoro","300","22 августа 1975 г."
400,nm0000100,2024-01-08,2024-01-08,"8195 points","Rowan Atkinson","Johnny English","6 января 1955 г."
401,nm1089991,2024-01-08,2024-01-08,"8154 points","Tom Hiddleston","The Avengers","9 февраля 1981 г."
402,nm0001953,2024-01-08,2024-01-08,"8147 points","Moritz Bleibtreu","Knockin' on Heaven's Door","13 августа 1971 г."
403,nm0000221,2024-01-08,2024-01-08,"8056 points","Charlie Sheen","Two and a Half Men","3 сентября 1965 г."
404,nm4139037,2024-01-08,2024-01-08,"8045 points","Suraj Sharma","Life of Pi","21 марта 1993 г."
405,nm1334869,2024-01-08,2024-01-08,"8037 points","Logan Marshall-Green","The Invitation","1 ноября 1976 г."
406,nm0001698,2024-01-08,2024-01-08,"7929 points","John Savage","The Last Full Measure","25 августа"
407,nm0422638,2024-01-08,2024-01-08,"7882 points","Wen Jiang","Rogue One","5 января 1963 г."
408,nm0891998,2024-01-08,2024-01-08,"7768 points","Conrad Veidt","Casablanca","22 января 1893 г."
409,nm0001364,2024-01-08,2024-06-08,"7718 points","Bob Hoskins","The Long Good Friday","26 октября 1942 г."
410,nm0065007,2024-01-08,2024-01-08,"7660 points","Demián Bichir","The Hateful Eight","1 августа 1963 г."
411,nm1670029,2024-01-08,2024-04-25,"7655 points","Rupert Friend","Hitman: Agent 47","1 октября 1981 г."
412,nm0352278,2024-01-08,2024-01-08,"7592 points","Matthias Habich","Enemy at the Gates","12 января 1940 г."
